Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3599564,1,356,-80,3C:46:A1:6D:96:A3
3599574,1,356,-81,3C:46:A1:6D:93:93
3599604,1,119,-77,08:65:F0:DA:4D:63
3599614,1,356,-79,3C:46:A1:6D:8B:33
3599624,1,340,-71,3C:46:A1:6D:8B:F2
3599624,1,356,-71,3C:46:A1:6D:8B:F3
3599624,1,364,-72,3C:46:A1:6D:8B:F4
3599644,1,340,-72,3C:46:A1:6D:9B:B2
3599644,1,356,-73,3C:46:A1:6D:9B:B3
3599644,1,356,-79,3C:46:A1:70:A0:B3
3599724,1,356,-80,3C:46:A1:6D:8B:33
3599724,1,340,-72,3C:46:A1:6D:8B:F2
3599724,1,356,-71,3C:46:A1:6D:8B:F3
3599724,1,364,-72,3C:46:A1:6D:8B:F4
3599744,1,340,-71,3C:46:A1:6D:9B:B2
3599744,1,356,-71,3C:46:A1:6D:9B:B3
3599744,1,364,-71,3C:46:A1:6D:9B:B4
3599784,1,356,-80,3C:46:A1:6D:93:93
3599804,1,119,-77,08:65:F0:DA:4D:63
3599824,1,356,-79,3C:46:A1:6D:8B:33
3599824,1,340,-72,3C:46:A1:6D:8B:F2
3599824,1,356,-71,3C:46:A1:6D:8B:F3
3599824,1,364,-71,3C:46:A1:6D:8B:F4
3599844,1,340,-70,3C:46:A1:6D:9B:B2
3599844,1,356,-71,3C:46:A1:6D:9B:B3
3599844,1,364,-70,3C:46:A1:6D:9B:B4
3599884,1,356,-79,3C:46:A1:6D:93:93
3599904,1,119,-78,08:65:F0:DA:4D:63
3599924,1,356,-79,3C:46:A1:6D:8B:33
3599924,1,340,-71,3C:46:A1:6D:8B:F2
3599934,1,356,-71,3C:46:A1:6D:8B:F3
3599934,1,364,-71,3C:46:A1:6D:8B:F4
3599944,1,340,-71,3C:46:A1:6D:9B:B2
3599944,1,356,-72,3C:46:A1:6D:9B:B3
3599944,1,364,-72,3C:46:A1:6D:9B:B4
3599974,1,356,-80,3C:46:A1:6D:96:A3
3599984,1,356,-79,3C:46:A1:6D:93:93
